,ApoBot,ApoCommando,ApoDefence,ApoIcarus,ApoMarc,ApoNotSoSimple,ApoPongBeat,ApoRelax,ApoSimple,ApoSimpleSudoku,ApoSlitherLink,ApoStarz,TutorVolley,ApoClock,ApoDice,ApoMonoAndroid,ApoSnake,BitsEngineAndroid,myTreasureAndroid
ApoBot,47,27,7,16,0,0,0,7,27,26,33,28,4,9,9,8,8,5,10
ApoCommando,,96,9,25,0,0,0,9,40,37,32,29,4,9,11,9,10,7,10
ApoDefence,,,85,0,0,0,0,8,11,9,10,7,4,5,7,5,6,7,7
ApoIcarus,,,,59,14,15,14,9,21,20,16,15,0,2,2,2,2,1,2
ApoMarc,,,,,51,32,35,28,0,0,0,0,0,0,0,0,0,0,0
ApoNotSoSimple,,,,,,63,35,26,0,0,0,0,0,0,0,0,0,0,0
ApoPongBeat,,,,,,,67,30,0,0,0,0,0,0,0,0,0,0,0
ApoRelax,,,,,,,,70,9,9,9,8,4,4,6,5,6,7,6
ApoSimple,,,,,,,,,102,38,43,29,4,10,11,10,11,7,11
ApoSimpleSudoku,,,,,,,,,,49,33,28,4,11,13,11,12,7,10
ApoSlitherLink,,,,,,,,,,,59,32,4,9,10,10,11,7,10
ApoStarz,,,,,,,,,,,,44,4,7,8,8,8,6,9
TutorVolley,,,,,,,,,,,,,5,3,3,3,3,3,4
ApoClock,,,,,,,,,,,,,,30,20,22,21,5,20
ApoDice,,,,,,,,,,,,,,,22,16,17,6,13
ApoMonoAndroid,,,,,,,,,,,,,,,,46,26,6,20
ApoSnake,,,,,,,,,,,,,,,,,26,6,15
BitsEngineAndroid,,,,,,,,,,,,,,,,,,145,18
myTreasureAndroid,,,,,,,,,,,,,,,,,,,30