task,type,Start time,End Time,Duration,time
T1 ,WR,10:38:00,10:44:00,0:06:00,6
T1 ,RR,10:36:00,10:41:00,0:05:00,5
T2 ,WR,10:36:00,10:41:00,0:05:00,5
T2 ,RR,10:36:00,10:40:00,0:04:00,4
T1 ,WR,10:36:00,10:41:00,0:05:00,5
T1 ,RR,10:35:00,10:41:00,0:06:00,6
T2 ,WR,10:36:00,10:37:00,0:01:00,1
T2 ,RR,10:36:00,10:38:00,0:02:00,2
T3 ,WR,10:36:00,10:38:00,0:02:00,2
T3 ,RR,10:35:00,10:39:00,0:04:00,4
T4 ,WR,10:36:00,10:38:00,0:02:00,2
T4 ,RR,10:36:00,10:38:00,0:02:00,2
T3 ,WR,10:36:00,10:38:00,0:02:00,2
T3 ,RR,10:36:00,10:38:00,0:02:00,2
T4 ,WR,10:39:00,10:47:00,0:08:00,8
T4 ,RR,10:35:00,10:41:00,0:06:00,6
T5 ,WR,10:37:00,10:43:00,0:06:00,6
T5 ,RR,10:36:00,10:41:00,0:05:00,5
T6 ,WR,10:34:00,10:38:00,0:04:00,4
T6 ,RR,10:35:00,10:37:00,0:02:00,2
T5 ,WR,10:35:00,10:40:00,0:05:00,5
T5 ,RR,10:35:00,10:36:00,0:01:00,1
T6 ,WR,10:36:00,10:38:00,0:02:00,2
T6 ,RR,10:35:00,10:39:00,0:04:00,4
T2 ,RR,10:45:00,10:50:00,0:05:00,5
T2 ,WR,10:42:00,10:46:00,0:04:00,4
T1 ,RR,10:41:00,10:44:00,0:03:00,3
T1 ,WR,10:40:00,10:48:00,0:08:00,8
T2 ,RR,10:42:00,10:46:00,0:04:00,4
T2 ,WR,10:41:00,10:48:00,0:07:00,7
T1 ,RR,10:38:00,10:44:00,0:06:00,6
T1 ,WR,10:38:00,10:47:00,0:09:00,9
T4 ,RR,10:39:00,10:44:00,0:05:00,5
T4 ,WR,10:39:00,10:43:00,0:04:00,4
T3 ,RR,10:38:00,10:40:00,0:02:00,2
T3 ,WR,10:38:00,10:41:00,0:03:00,3
T4 ,RR,10:38:00,10:42:00,0:04:00,4
T4 ,WR,10:38:00,10:44:00,0:06:00,6
T3 ,RR,10:47:00,10:51:00,0:04:00,4
T3 ,WR,10:44:00,10:48:00,0:04:00,4
T6 ,RR,10:45:00,10:50:00,0:05:00,5
T6 ,WR,10:42:00,10:44:00,0:02:00,2
T5 ,RR,10:40:00,10:45:00,0:05:00,5
T5 ,WR,10:37:00,10:40:00,0:03:00,3
T6 ,RR,10:40:00,10:45:00,0:05:00,5
T6 ,WR,10:38:00,10:41:00,0:03:00,3
T5 ,RR,10:39:00,10:41:00,0:02:00,2
T5 ,WR,10:42:00,10:45:00,0:03:00,3
T3 ,WR,10:50:00,10:51:00,0:01:00,1
T3 ,RR,10:46:00,10:52:00,0:06:00,6
T4 ,WR,10:45:00,10:48:00,0:03:00,3
T4 ,RR,10:48:00,10:51:00,0:03:00,3
T5 ,WR,10:48:00,10:51:00,0:03:00,3
T5 ,RR,10:48:00,11:00:00,0:12:00,12
T6 ,WR,10:45:00,10:48:00,0:03:00,3
T6 ,RR,10:47:00,10:50:00,0:03:00,3
T1 ,WR,10:45:00,10:55:00,0:10:00,10
T1 ,RR,10:43:00,10:48:00,0:05:00,5
T2 ,WR,10:40:00,10:42:00,0:02:00,2
T2 ,RR,10:42:00,10:45:00,0:03:00,3
T5 ,WR,10:43:00,10:48:00,0:05:00,5
T5 ,RR,10:45:00,10:49:00,0:04:00,4
T6 ,WR,10:51:00,10:54:00,0:03:00,3
T6 ,RR,10:50:00,10:57:00,0:07:00,7
T1 ,WR,10:52:00,11:00:00,0:08:00,8
T1 ,RR,10:45:00,10:50:00,0:05:00,5
T2 ,WR,10:46:00,10:49:00,0:03:00,3
T2 ,RR,10:40:00,10:45:00,0:05:00,5
T3 ,WR,10:45:00,10:48:00,0:03:00,3
T3 ,RR,10:41:00,10:43:00,0:02:00,2
T4 ,WR,10:42:00,10:43:00,0:01:00,1
T4 ,RR,10:46:00,10:49:00,0:03:00,3
T4 ,RR,10:52:00,10:55:00,0:03:00,3
T4 ,WR,10:53:00,10:56:00,0:03:00,3
T3 ,RR,10:49:00,10:51:00,0:02:00,2
T3 ,WR,10:51:00,10:52:00,0:01:00,1
T6 ,RR,10:51:00,10:54:00,0:03:00,3
T6 ,WR,11:01:00,11:03:00,0:02:00,2
T5 ,RR,10:48:00,10:53:00,0:05:00,5
T5 ,WR,10:51:00,10:55:00,0:04:00,4
T2 ,RR,10:55:00,11:00:00,0:05:00,5
T2 ,WR,10:48:00,10:52:00,0:04:00,4
T1 ,RR,10:42:00,10:44:00,0:02:00,2
T1 ,WR,10:46:00,10:49:00,0:03:00,3
T6 ,RR,10:48:00,10:53:00,0:05:00,5
T6 ,WR,10:50:00,10:52:00,0:02:00,2
T5 ,RR,10:54:00,10:58:00,0:04:00,4
T5 ,WR,10:58:00,11:02:00,0:04:00,4
T2 ,RR,11:02:00,11:06:00,0:04:00,4
T2 ,WR,10:51:00,10:53:00,0:02:00,2
T1 ,RR,10:49:00,10:51:00,0:02:00,2
T1 ,WR,10:43:00,10:45:00,0:02:00,2
T4 ,RR,10:48:00,10:52:00,0:04:00,4
T4 ,WR,10:43:00,10:45:00,0:02:00,2
T3 ,RR,10:44:00,10:47:00,0:03:00,3
T3 ,WR,10:51:00,10:55:00,0:04:00,4
T5 ,WR,10:55:00,11:00:00,0:05:00,5
T5 ,RR,10:56:00,11:02:00,0:06:00,6
T6 ,WR,10:51:00,10:54:00,0:03:00,3
T6 ,RR,10:52:00,10:56:00,0:04:00,4
T3 ,WR,10:54:00,10:56:00,0:02:00,2
T3 ,RR,11:03:00,11:05:00,0:02:00,2
T4 ,WR,10:53:00,10:55:00,0:02:00,2
T4 ,RR,10:55:00,10:57:00,0:02:00,2
T5 ,WR,11:00:00,11:06:00,0:06:00,6
T5 ,RR,10:53:00,10:57:00,0:04:00,4
T6 ,WR,10:44:00,10:46:00,0:02:00,2
T6 ,RR,10:49:00,10:52:00,0:03:00,3
T1 ,WR,10:53:00,10:58:00,0:05:00,5
T1 ,RR,10:52:00,10:56:00,0:04:00,4
T2 ,WR,10:58:00,11:00:00,0:02:00,2
T2 ,RR,11:02:00,11:05:00,0:03:00,3
T3 ,WR,11:09:00,11:19:00,0:10:00,10
T3 ,RR,10:54:00,10:57:00,0:03:00,3
T4 ,WR,10:52:00,10:55:00,0:03:00,3
T4 ,RR,10:46:00,10:48:00,0:02:00,2
T1 ,WR,10:52:00,10:56:00,0:04:00,4
T1 ,RR,10:45:00,10:48:00,0:03:00,3
T2 ,WR,10:47:00,10:48:00,0:01:00,1
T2 ,RR,10:59:00,11:00:00,0:01:00,1
T6 ,RR,11:00:00,11:03:00,0:03:00,3
T6 ,WR,11:02:00,11:04:00,0:02:00,2
T5 ,RR,10:54:00,10:58:00,0:04:00,4
T5 ,WR,10:56:00,10:59:00,0:03:00,3
T4 ,RR,10:56:00,10:59:00,0:03:00,3
T4 ,WR,11:06:00,11:10:00,0:04:00,4
T3 ,RR,10:55:00,10:57:00,0:02:00,2
T3 ,WR,10:58:00,11:01:00,0:03:00,3
T6 ,RR,11:06:00,11:09:00,0:03:00,3
T6 ,WR,10:57:00,11:00:00,0:03:00,3
T5 ,RR,10:46:00,10:48:00,0:02:00,2
T5 ,WR,10:52:00,10:54:00,0:02:00,2
T2 ,RR,10:59:00,11:02:00,0:03:00,3
T2 ,WR,10:56:00,10:58:00,0:02:00,2
T1 ,RR,11:00:00,11:04:00,0:04:00,4
T1 ,WR,11:05:00,11:09:00,0:04:00,4
T4 ,RR,11:21:00,11:22:00,0:01:00,1
T4 ,WR,10:57:00,11:02:00,0:05:00,5
T3 ,RR,10:55:00,10:57:00,0:02:00,2
T3 ,WR,10:48:00,10:49:00,0:01:00,1
T2 ,RR,10:58:00,10:59:00,0:01:00,1
T2 ,WR,10:48:00,10:50:00,0:02:00,2
T1 ,RR,10:49:00,10:51:00,0:02:00,2
T1 ,WR,11:01:00,11:04:00,0:03:00,3
T7 ,WR,11:03:00,11:11:00,0:08:00,8
T7 ,RR,11:04:00,11:08:00,0:04:00,4
T8 ,WR,10:58:00,11:03:00,0:05:00,5
T8 ,RR,11:00:00,11:06:00,0:06:00,6
T7 ,WR,10:59:00,11:02:00,0:03:00,3
T7 ,RR,11:10:00,11:13:00,0:03:00,3
T8 ,WR,10:58:00,11:01:00,0:03:00,3
T8 ,RR,11:01:00,11:05:00,0:04:00,4
T7 ,WR,11:09:00,11:16:00,0:07:00,7
T7 ,RR,11:00:00,11:04:00,0:04:00,4
T8 ,WR,10:48:00,10:51:00,0:03:00,3
T8 ,RR,10:54:00,10:57:00,0:03:00,3
T7 ,WR,11:03:00,11:06:00,0:03:00,3
T7 ,RR,10:59:00,11:02:00,0:03:00,3
T8 ,WR,11:04:00,11:08:00,0:04:00,4
T8 ,RR,11:10:00,11:15:00,0:05:00,5
T7 ,WR,11:24:00,11:31:00,0:07:00,7
T7 ,RR,11:04:00,11:08:00,0:04:00,4
T8 ,WR,10:57:00,11:00:00,0:03:00,3
T8 ,RR,10:49:00,10:51:00,0:02:00,2
T7 ,WR,10:59:00,11:01:00,0:02:00,2
T7 ,RR,10:51:00,10:53:00,0:02:00,2
T8 ,WR,10:51:00,10:55:00,0:04:00,4
T8 ,RR,11:05:00,11:10:00,0:05:00,5
T8 ,RR,11:12:00,11:14:00,0:02:00,2
T8 ,WR,11:08:00,11:11:00,0:03:00,3
T7 ,RR,11:03:00,11:05:00,0:02:00,2
T7 ,WR,11:04:00,11:08:00,0:04:00,4
T8 ,RR,11:02:00,11:04:00,0:02:00,2
T8 ,WR,11:13:00,11:17:00,0:04:00,4
T7 ,RR,11:01:00,11:08:00,0:07:00,7
T7 ,WR,11:05:00,11:12:00,0:07:00,7
T8 ,RR,11:16:00,11:19:00,0:03:00,3
T8 ,WR,11:04:00,11:07:00,0:03:00,3
T7 ,RR,10:52:00,10:58:00,0:06:00,6
T7 ,WR,10:57:00,10:58:00,0:01:00,1
T8 ,RR,11:06:00,11:09:00,0:03:00,3
T8 ,WR,11:03:00,11:08:00,0:05:00,5
T7 ,RR,11:09:00,11:11:00,0:02:00,2
T7 ,WR,11:16:00,11:17:00,0:01:00,1
T8 ,RR,11:31:00,11:35:00,0:04:00,4
T8 ,WR,11:08:00,11:14:00,0:06:00,6
T7 ,RR,11:01:00,11:03:00,0:02:00,2
T7 ,WR,10:52:00,10:54:00,0:02:00,2
T8 ,RR,11:02:00,11:04:00,0:02:00,2
T8 ,WR,10:54:00,10:58:00,0:04:00,4
T7 ,RR,10:55:00,10:57:00,0:02:00,2
T7 ,WR,11:10:00,11:12:00,0:02:00,2
