Participant ID,P3,P24,P21,P18,P17,P23,P10,P4,P2,P9,P13,P12,P16,P22,P15,P1,P8,P20,P6,P19,P7,P11,P14,P5
AcaSE,3,1,3,3,2,2,2,2,1,1,2,2,3,2,2,1,2,2,3,0,2,2,2,2
IndSE,2,1,3,2,2,2,2,2,0,1,1,2,3,1,1,0,1,2,0,3,0,1,1,0
AcaUML,3,2,1,2,2,2,1,1,2,2,1,2,1,2,1,1,2,2,2,0,2,1,1,1
IndUML,2,1,1,2,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
AcaSR,2,2,3,2,2,1,2,1,3,2,2,2,0,1,1,1,2,1,1,0,0,0,0,0
IndSR,2,1,3,2,2,0,2,2,1,1,1,2,2,0,0,1,0,1,0,2,0,0,0,0
AcaMR,1,2,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0
IndMR,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAcaUML,3,2,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,2,1,0,3,3,3,3
RIndUML,3,2,3,3,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0
RAcaMR,3,3,0,0,3,3,1,3,3,3,3,0,0,0,3,2,0,0,1,0,0,0,0,0
RIndMR,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0